panda_id,is_vegan
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
1001001,0
1001002,1
1001003,0
1001004,0
1001005,0
1001006,0
1001007,0
1001008,0
1001009,1
1001010,0
1001011,0
1001012,1
1001013,0
1001014,0
1001015,0
1001016,0
1001017,0
1001018,0
1001019,1
1001020,0
1001021,1
1001022,0
1001023,1
1001024,0
1001025,0
1001026,0
1001027,1
1001028,0
1001029,0
1001030,0
1001031,0
1001032,0
1001033,1
1001034,0
1001035,0
1001036,1
1001037,0
1001039,0
1001040,0
1001041,0
1001042,0
1001043,0
1001044,0
1001045,0
1001046,0
1001047,0
1001048,1
1001049,0
1001050,0
1001051,0
1001052,0
1001053,1
1001054,0
1001055,0
1001056,0
1001057,0
1001058,1
1001059,0
1001060,1
1001061,0
1001062,1
1001063,1
1001064,0
1001065,1
1001066,1
1001067,1
1001068,0
1001070,0
1001071,1
1001072,0
1001073,0
1001074,0
1001075,0
1001076,0
1001077,0
1001078,0
1001079,0
1001080,0
1001081,0
1001082,0
1001083,0
1001084,0
1001085,0
1001086,0
1001087,1
1001088,0
1001089,0
1001090,0
1001091,0
1001092,1
1001093,1
1001094,1
1001095,0
1001096,1
1001097,1
1001098,0
1001099,0
1001100,0
1001101,0
1001102,0
